ticket_id,title,description,category,priority,source_id,source_type,technical_details,created_at,status,assigned_to
T1001,[Bug] Calendar sync with Google Calendar is broken,Calendar sync with Google Calendar is broken,Bug,High,R1010,app_review,Version: 2.1.3; Platform: App Store,2025-09-19T18:06:35.486199,New,Unassigned
T1002,[Feature Request] Please add voice notes feature,Please add voice notes feature,Feature Request,Medium,R1018,app_review,N/A,2025-09-19T18:06:35.486218,New,Unassigned
T1003,[General] asdfghjkl random text 12345,asdfghjkl random text 12345,General,Low,R1042,app_review,N/A,2025-09-19T18:06:35.486221,New,Unassigned
T1004,"[Feature Request] Need better export options (PDF, Word)","Need better export options (PDF, Word)",Feature Request,Medium,R1016,app_review,N/A,2025-09-19T18:06:35.486223,New,Unassigned
T1005,[General] Offline mode doesn't save changes properly,Offline mode doesn't save changes properly,General,Low,R1009,app_review,N/A,2025-09-19T18:06:35.486226,New,Unassigned
T1006,[General] This app changed my life. So organized now!,This app changed my life. So organized now!,General,Low,R1023,app_review,N/A,2025-09-19T18:06:35.486228,New,Unassigned
T1007,[General] Check out my Instagram @fake_account,Check out my Instagram @fake_account,General,Low,R1047,app_review,N/A,2025-09-19T18:06:35.486229,New,Unassigned
T1008,[General] ♠♣♥♦ symbols only ★☆★☆,♠♣♥♦ symbols only ★☆★☆,General,Low,R1045,app_review,N/A,2025-09-19T18:06:35.486231,New,Unassigned
T1009,[General] Competitors offer more for less money,Competitors offer more for less money,General,Low,R1039,app_review,N/A,2025-09-19T18:06:35.486233,New,Unassigned
T1010,[Bug] Can't login since the last update. Getting error code 401,Can't login since the last update. Getting error code 401,Bug,High,R1002,app_review,Version: 2.1.3; Platform: Google Play; Error Code: 401,2025-09-19T18:06:35.486234,New,Unassigned
T1011,[General] MAKE $5000 WORKING FROM HOME,MAKE $5000 WORKING FROM HOME,General,Low,R1043,app_review,N/A,2025-09-19T18:06:35.486236,New,Unassigned
T1012,[General] Lorem ipsum dolor sit amet consectetur,Lorem ipsum dolor sit amet consectetur,General,Low,R1049,app_review,N/A,2025-09-19T18:06:35.486238,New,Unassigned
T1013,[Bug] Export function broken - generates empty files,Export function broken - generates empty files,Bug,High,R1006,app_review,Version: 3.0.1; Platform: Google Play,2025-09-19T18:06:35.486239,New,Unassigned
T1014,[General] This is not related to the app at all,This is not related to the app at all,General,Low,R1048,app_review,N/A,2025-09-19T18:06:35.486241,New,Unassigned
T1015,[Feature Request] Please add dark mode! My eyes hurt at night,Please add dark mode! My eyes hurt at night,Feature Request,Medium,R1011,app_review,N/A,2025-09-19T18:06:35.486243,New,Unassigned
T1016,[Bug] App crashes when I try to upload photos. Please fix this!,App crashes when I try to upload photos. Please fix this!,Bug,Critical,R1001,app_review,Version: 3.1.0; Platform: App Store,2025-09-19T18:06:35.486244,New,Unassigned
T1017,[Feature Request] Missing functionality for batch operations,Missing functionality for batch operations,Feature Request,Medium,R1013,app_review,N/A,2025-09-19T18:06:35.486246,New,Unassigned
T1018,[Bug] App is slow and laggy on older phones,App is slow and laggy on older phones,Bug,Medium,R1033,app_review,Version: 2.9.8; Platform: Google Play,2025-09-19T18:06:35.486248,New,Unassigned
T1019,[Bug] Data sync not working between devices. Lost all my notes!,Data sync not working between devices. Lost all my notes!,Bug,Critical,R1003,app_review,Version: 2.1.3; Platform: Google Play,2025-09-19T18:06:35.486249,New,Unassigned
T1020,[Feature Request] Missing integration with Notion,Missing integration with Notion,Feature Request,Medium,R1019,app_review,N/A,2025-09-19T18:06:35.486251,New,Unassigned
